2176	2781	2707	9843	4719	1097	2456	5447	9628	4764	1218	4697	2113	3609	797	5326	3829	4096	903	1699	7462	4490	4957	8335	4630	5300	9899	5963	4472	5453	5207	5559	5300	7277	7058	5841	5842	5184	5023	4677	8307	4643	5224	6302	5428	8979	5880	5641	5213	5084	5653	6123	5673	8612	6158	5830	4903	5211	7237	6834	5278	8402	6560	6321	5635	6405	5390	6857	5199	5877	6124	5826	6609	6853	7364	6553	7903	8578	9208	6070	7451	3086	9164	6005	8894	8354	9151	7722	7098	7627	9258	8896	8356	8978	8419	9205	7512	8825	5460	8082
3752	9574	9938	9825	5164	1239	3013	5868	3382	4719	645	4762	130	9815	714	409	9713	3138	872	9806	7217	4457	4784	7905	4554	5947	6827	5865	4461	5232	7637	4995	5407	3933	8862	5866	5867	4997	5500	5074	4773	7391	8105	5144	468	5560	9669	3948	5750	5138	5012	6192	8480	2640	6167	6004	5978	5284	7024	6316	4472	8564	7269	6413	5440	5504	5669	8162	1478	3049	6430	5885	933	2771	5541	7616	7367	8275	9792	8069	7188	6408	51	6778	2467	8725	5743	5690	6901	7118	9417	9993	7797	1088	8099	1185	5332	9081	5439	8782
882	2492	2698	9574	1671	4943	1682	3109	7828	5609	693	8566	506	9574	69	3818	9595	1292	1791	9576	7027	9102	5408	7123	4623	6422	4492	6161	8189	5195	8549	4962	4956	9055	6346	6707	6708	8144	5177	7002	4867	4564	7135	4978	5930	6085	8997	6707	5772	4742	6627	6343	2385	5997	4798	5499	4730	5637	7700	6612	4490	6354	6911	5989	6937	6022	7346	7881	9893	6214	5912	5155	9769	4240	9547	1234	2805	5332	4623	5967	7742	4951	390	8480	9464	6144	6750	8011	8899	6079	6491	3937	956	5433	7678	9682	7939	6142	5810	4767
4009	1322	9972	9582	1538	3227	8581	5671	1098	9013	804	4726	128	1564	1019	9747	8547	9629	1638	107	5557	4915	5525	7849	652	3011	4683	5969	6827	6162	1649	5330	4783	8150	5715	5376	4272	7936	6187	9841	5214	440	4390	6416	7249	4996	8218	2890	5437	168	8060	6703	2256	1321	6709	5115	4484	7374	9958	6648	4457	8906	6202	7094	9058	6712	7758	8279	5073	3368	6804	7157	4315	3239	2085	6297	1236	9153	9464	8486	7587	5088	90	5051	5121	7927	6843	6587	7065	6245	4855	763	908	7218	7486	7271	266	5072	6882	9163
2837	3136	6995	4097	5897	804	2774	4597	4391	1538	496	6489	9692	9663	1881	1892	2578	9805	2393	144	6757	8047	5718	7817	5302	268	5406	8926	5541	6406	1020	4870	6030	8530	5902	1884	8534	2841	5341	7218	5163	560	1464	6933	322	4460	8259	3292	976	4743	5110	2591	6455	92	6983	5999	4678	9922	7287	7171	6930	1890	6268	6440	7082	798	5242	6638	603	7058	7486	6342	3953	3802	8190	2726	3108	2092	8894	7489	6345	1548	64	7943	5879	7584	5474	8734	9224	5507	103	9240	580	7463	8608	2265	2126	6234	5773	9942
190	1038	6801	9576	4764	2607	3530	7586	8518	688	6946	1359	1362	924	906	2483	319	133	891	2176	7419	9600	4679	4724	9208	8663	4461	5407	7039	5216	4777	4318	8663	687	3049	3364	4314	6178	1320	9721	3206	859	6867	5219	8615	1277	9000	1757	5228	113	3846	2611	7145	5120	6676	7228	7641	9778	8348	6376	4461	9938	6898	5863	5545	9224	7159	6018	9845	9719	7765	9945	5246	7744	9546	8996	2104	3290	1562	7080	9250	3766	273	1478	3403	7019	5690	6140	8103	7265	4678	9085	4832	7344	8492	3055	4867	7467	6906	9993
3615	9564	8906	9581	4559	4060	924	2804	3912	7885	281	4640	9581	1531	2771	5775	1517	107	1421	4007	9067	8720	4739	4476	4915	3006	8502	5736	5477	6428	5938	431	6508	1193	1965	4271	5377	3271	3565	4692	8409	9344	3911	5176	5358	8712	7851	3009	6578	5596	7994	7418	1002	221	7177	7226	1524	448	7653	6692	9547	2481	6371	5167	6905	4579	7338	5743	7217	5902	6163	7081	3593	1881	9561	5496	3680	2010	4736	5952	7855	6131	5571	8047	1562	5887	6587	7296	6326	2497	5526	6453	1567	7167	6804	1130	3206	6926	5924	9240
816	925	5232	272	358	4443	2732	9394	5002	7642	4060	1526	120	9860	4151	5091	1986	1370	307	122	7931	5047	105	8145	9792	153	4630	5179	7805	6487	5380	581	153	9200	4941	8535	1254	6465	2519	4107	7024	4771	2460	5029	5148	2640	5857	5866	512	4827	8339	9841	8906	4711	6458	5987	5431	2650	3804	6798	8720	3816	7675	7167	7004	7600	3264	9033	7462	5715	5196	5634	5296	2453	8189	4881	1390	8004	4888	7280	7254	4218	1133	6382	9208	6254	7325	7707	6369	6831	204	7924	4684	6785	7411	349	2728	8102	6745	2894
1045	3998	6162	9575	5775	4246	9701	2735	73	1671	8027	9095	2128	9602	7744	3325	470	1151	142	3137	4760	4671	5085	5208	1010	5407	1965	4839	4492	6125	116	5013	6338	8293	8468	1605	2755	7707	5522	2891	1420	9169	9920	5587	7891	6754	1389	1884	7648	6827	4995	7932	6478	5642	6283	8603	8215	8809	8551	6720	9524	2621	6248	5327	7960	5658	7082	7536	8051	4511	5454	9057	7601	1875	9617	9796	8166	2949	7117	6646	4649	5102	8783	5288	6109	4232	9037	5415	8201	9079	4645	8197	1059	6137	9267	2318	2949	5134	7419	9338
1884	2183	5199	4096	4622	3112	1916	6639	8441	7123	4370	4739	483	5623	3239	2	262	1323	116	411	9311	9473	5652	5758	705	8912	7263	4783	5879	6805	434	1483	8779	2201	6800	2139	2607	3809	220	6883	2221	6614	416	6801	6212	5713	9160	4373	1579	6400	8557	9997	4357	6679	6678	6252	9096	1626	33	8674	5879	4914	7963	5310	9314	8201	5464	4649	4225	3541	5487	9797	4874	3487	9527	8883	9037	9190	8230	7076	1665	5436	775	8890	9530	6425	8162	9151	5901	5764	5002	6269	2956	1661	4053	925	8307	8471	6047	9846
